timestamp,epoch_seconds,power_draw_w,power_limit_w,gpu_utilization,memory_used_mb,temperature_gpu
2026-07-15T13:13:01.409422,273.407,7.16,0.0,17.0,0.0,39.0
2026-07-15T13:13:01.967913,273.966,7.13,0.0,14.0,0.0,39.0
2026-07-15T13:13:02.532858,274.531,7.13,0.0,15.0,0.0,39.0
2026-07-15T13:13:03.091394,275.089,7.14,0.0,14.0,0.0,39.0
2026-07-15T13:13:03.654872,275.653,7.14,0.0,14.0,0.0,39.0
2026-07-15T13:13:04.258400,276.256,7.12,0.0,16.0,0.0,39.0
2026-07-15T13:13:04.824821,276.823,7.16,0.0,14.0,0.0,39.0
2026-07-15T13:13:05.426683,277.425,7.16,0.0,15.0,0.0,39.0
2026-07-15T13:13:05.989005,277.987,7.14,0.0,16.0,0.0,39.0
2026-07-15T13:13:06.588066,278.586,7.16,0.0,15.0,0.0,39.0
2026-07-15T13:13:07.153104,279.151,7.18,0.0,18.0,0.0,39.0
2026-07-15T13:13:07.746079,279.744,7.15,0.0,15.0,0.0,39.0
2026-07-15T13:13:08.354682,280.353,7.14,0.0,17.0,0.0,39.0
2026-07-15T13:13:08.951291,280.949,7.13,0.0,14.0,0.0,39.0
2026-07-15T13:13:09.552364,281.55,7.15,0.0,18.0,0.0,39.0
2026-07-15T13:13:10.114800,282.113,7.15,0.0,15.0,0.0,39.0
2026-07-15T13:13:10.714560,282.713,7.15,0.0,16.0,0.0,39.0
2026-07-15T13:13:11.328783,283.327,7.12,0.0,14.0,0.0,39.0
2026-07-15T13:13:11.929608,283.928,7.1,0.0,15.0,0.0,39.0
2026-07-15T13:13:12.493872,284.492,7.13,0.0,13.0,0.0,39.0
2026-07-15T13:13:13.092374,285.09,7.12,0.0,15.0,0.0,39.0
2026-07-15T13:13:13.694470,285.692,7.14,0.0,14.0,0.0,39.0
2026-07-15T13:13:14.298094,286.296,7.11,0.0,14.0,0.0,39.0
2026-07-15T13:13:14.893142,286.891,7.13,0.0,15.0,0.0,39.0
2026-07-15T13:13:15.497054,287.495,7.15,0.0,15.0,0.0,39.0
2026-07-15T13:13:16.095310,288.093,7.18,0.0,18.0,0.0,39.0
2026-07-15T13:13:16.699220,288.697,7.17,0.0,13.0,0.0,39.0
2026-07-15T13:13:17.302979,289.301,7.16,0.0,16.0,0.0,39.0
2026-07-15T13:13:17.904789,289.903,7.16,0.0,14.0,0.0,39.0
2026-07-15T13:13:18.503046,290.501,7.13,0.0,15.0,0.0,39.0
2026-07-15T13:13:19.068003,291.066,7.13,0.0,13.0,0.0,39.0
2026-07-15T13:13:19.665449,291.663,7.13,0.0,15.0,0.0,39.0
2026-07-15T13:13:20.276248,292.274,7.11,0.0,14.0,0.0,39.0
2026-07-15T13:13:20.875066,292.873,7.11,0.0,15.0,0.0,39.0
2026-07-15T13:13:21.473996,293.472,7.13,0.0,12.0,0.0,39.0
2026-07-15T13:13:22.071839,294.07,7.11,0.0,14.0,0.0,39.0
2026-07-15T13:13:22.672458,294.67,7.12,0.0,13.0,0.0,39.0
2026-07-15T13:13:23.274507,295.272,7.09,0.0,14.0,0.0,39.0
2026-07-15T13:13:23.875209,295.873,7.14,0.0,14.0,0.0,39.0
2026-07-15T13:13:24.476745,296.475,7.12,0.0,15.0,0.0,39.0
2026-07-15T13:13:25.076313,297.074,7.13,0.0,15.0,0.0,39.0
2026-07-15T13:13:25.636297,297.634,7.12,0.0,14.0,0.0,39.0
2026-07-15T13:13:26.199905,298.198,7.13,0.0,15.0,0.0,39.0
2026-07-15T13:13:26.764790,298.763,7.16,0.0,14.0,0.0,39.0
2026-07-15T13:13:27.345314,299.343,7.14,0.0,14.0,0.0,39.0
2026-07-15T13:13:27.938402,299.936,7.16,0.0,14.0,0.0,39.0
2026-07-15T13:13:28.500937,300.499,7.14,0.0,15.0,0.0,39.0
2026-07-15T13:13:29.102033,301.1,7.16,0.0,14.0,0.0,39.0
2026-07-15T13:13:29.699803,301.698,7.11,0.0,14.0,0.0,39.0
2026-07-15T13:13:30.278743,302.277,8.78,0.0,91.0,0.0,39.0
2026-07-15T13:13:30.848318,302.846,10.68,0.0,91.0,0.0,40.0
2026-07-15T13:13:31.441537,303.439,10.9,0.0,89.0,0.0,40.0
2026-07-15T13:13:32.006666,304.005,10.86,0.0,88.0,0.0,40.0
2026-07-15T13:13:32.579398,304.577,10.9,0.0,89.0,0.0,40.0
2026-07-15T13:13:33.150931,305.149,10.94,0.0,91.0,0.0,40.0
2026-07-15T13:13:33.720099,305.718,10.92,0.0,90.0,0.0,40.0
2026-07-15T13:13:34.312368,306.31,10.9,0.0,92.0,0.0,40.0
2026-07-15T13:13:34.879556,306.877,10.97,0.0,92.0,0.0,40.0
2026-07-15T13:13:35.449132,307.447,10.93,0.0,91.0,0.0,40.0
2026-07-15T13:13:36.011411,308.009,10.97,0.0,92.0,0.0,40.0
2026-07-15T13:13:36.583205,308.581,10.95,0.0,89.0,0.0,40.0
2026-07-15T13:13:37.150868,309.149,10.87,0.0,92.0,0.0,40.0
2026-07-15T13:13:37.729077,309.727,9.89,0.0,94.0,0.0,40.0
2026-07-15T13:13:38.333608,310.332,9.09,0.0,94.0,0.0,40.0
2026-07-15T13:13:38.900377,310.898,9.1,0.0,92.0,0.0,40.0
2026-07-15T13:13:39.480347,311.478,9.07,0.0,93.0,0.0,40.0
2026-07-15T13:13:40.048813,312.047,9.06,0.0,92.0,0.0,40.0
2026-07-15T13:13:40.617161,312.615,9.09,0.0,94.0,0.0,40.0
2026-07-15T13:13:41.191559,313.19,9.12,0.0,94.0,0.0,40.0
2026-07-15T13:13:41.759997,313.758,9.08,0.0,93.0,0.0,40.0
2026-07-15T13:13:42.342848,314.341,9.09,0.0,94.0,0.0,40.0
2026-07-15T13:13:42.917579,314.916,9.11,0.0,94.0,0.0,40.0
2026-07-15T13:13:43.488764,315.487,9.13,0.0,94.0,0.0,40.0
2026-07-15T13:13:44.065132,316.063,9.1,0.0,92.0,0.0,40.0
2026-07-15T13:13:44.634867,316.633,9.11,0.0,94.0,0.0,40.0
2026-07-15T13:13:45.204260,317.202,9.12,0.0,94.0,0.0,40.0
2026-07-15T13:13:45.774303,317.772,9.13,0.0,94.0,0.0,40.0
2026-07-15T13:13:46.345276,318.343,9.12,0.0,94.0,0.0,40.0
2026-07-15T13:13:46.919760,318.918,9.11,0.0,94.0,0.0,40.0
2026-07-15T13:13:47.485936,319.484,9.12,0.0,94.0,0.0,40.0
2026-07-15T13:13:48.062307,320.06,9.13,0.0,93.0,0.0,40.0
2026-07-15T13:13:48.659043,320.657,9.1,0.0,49.0,0.0,40.0
2026-07-15T13:13:49.263467,321.261,7.31,0.0,0.0,0.0,40.0
2026-07-15T13:13:49.868743,321.867,6.07,0.0,0.0,0.0,40.0
2026-07-15T13:13:50.417763,322.416,6.07,0.0,0.0,0.0,40.0
2026-07-15T13:13:50.968790,322.967,6.07,0.0,0.0,0.0,40.0
2026-07-15T13:13:51.522784,323.521,6.07,0.0,0.0,0.0,39.0
2026-07-15T13:13:52.082953,324.081,6.07,0.0,0.0,0.0,39.0
2026-07-15T13:13:52.691703,324.69,6.07,0.0,0.0,0.0,39.0
2026-07-15T13:13:53.238471,325.236,6.23,0.0,0.0,0.0,39.0
2026-07-15T13:13:53.784650,325.783,6.41,0.0,0.0,0.0,39.0
2026-07-15T13:13:54.335071,326.333,6.41,0.0,0.0,0.0,39.0
2026-07-15T13:13:54.925224,326.923,6.41,0.0,0.0,0.0,39.0
2026-07-15T13:13:55.473676,327.472,6.39,0.0,0.0,0.0,39.0
2026-07-15T13:13:56.020232,328.018,6.4,0.0,0.0,0.0,39.0
2026-07-15T13:13:56.566342,328.564,6.41,0.0,0.0,0.0,39.0
2026-07-15T13:13:57.138777,329.137,8.45,0.0,93.0,0.0,40.0
2026-07-15T13:13:57.707479,329.705,9.69,0.0,94.0,0.0,40.0
2026-07-15T13:13:58.300345,330.298,9.05,0.0,93.0,0.0,40.0
2026-07-15T13:13:58.880588,330.879,9.03,0.0,94.0,0.0,40.0
2026-07-15T13:13:59.459033,331.457,9.01,0.0,93.0,0.0,40.0
2026-07-15T13:14:00.032096,332.03,9.01,0.0,94.0,0.0,40.0
2026-07-15T13:14:00.597244,332.595,9.02,0.0,92.0,0.0,40.0
2026-07-15T13:14:01.169819,333.168,9.02,0.0,94.0,0.0,40.0
2026-07-15T13:14:01.739070,333.737,9.06,0.0,94.0,0.0,40.0
2026-07-15T13:14:02.329287,334.327,9.05,0.0,93.0,0.0,40.0
2026-07-15T13:14:02.897688,334.896,9.05,0.0,94.0,0.0,40.0
2026-07-15T13:14:03.471567,335.469,9.06,0.0,94.0,0.0,40.0
2026-07-15T13:14:04.044365,336.042,9.05,0.0,92.0,0.0,40.0
2026-07-15T13:14:04.615202,336.613,9.06,0.0,94.0,0.0,40.0
2026-07-15T13:14:05.185612,337.184,9.08,0.0,94.0,0.0,40.0
2026-07-15T13:14:05.756220,337.754,9.07,0.0,94.0,0.0,40.0
